,0
2000-06-15,0.011897144585170528
2001-06-15,0.010817361122462898
2002-06-15,0.016540663006405037
2003-06-15,0.010059352120151743
2004-06-15,0.01102710203267634
2005-06-15,0.011259484570473433
2006-06-15,0.013935388492730757
2007-06-15,0.007566010016792764
2008-06-15,0.01010304791006175
2009-06-15,0.010111624607816339
2010-06-15,0.00887071795295924
2011-06-15,0.008827786970262727
2012-06-15,0.006682707335461269
2013-06-15,0.005708865122869611
2014-06-15,0.009445402305573225
2015-06-15,0.0072619107862313586
2016-06-15,0.007854837522079999
2017-06-15,0.012352238195793083
2018-06-15,0.007137296604923904
2019-06-15,0.00850519718369469
