time,concno2
1999-01-15,
1999-02-15,
1999-03-15,
1999-04-15,2.347853422164917
1999-05-15,2.402391195297241
1999-06-15,1.7898073196411133
1999-07-15,1.944556474685669
1999-08-15,2.419659376144409
1999-09-15,2.632476568222046
1999-10-15,3.91442608833313
1999-11-15,5.821654796600342
1999-12-15,6.279238224029541
2000-01-15,7.191277980804443
2000-02-15,4.095646858215332
2000-03-15,
2000-04-15,2.5859174728393555
2000-05-15,2.552919387817383
2000-06-15,1.813847303390503
2000-07-15,1.8837898969650269
2000-08-15,2.5183284282684326
2000-09-15,2.2257394790649414
2000-10-15,3.089646816253662
2000-11-15,5.438954830169678
2000-12-15,8.882566452026367
2001-01-15,5.677305221557617
2001-02-15,3.6279242038726807
2001-03-15,2.595496416091919
2001-04-15,2.3563919067382812
2001-05-15,2.359415292739868
2001-06-15,1.7994478940963745
2001-07-15,1.6801424026489258
2001-08-15,2.207380533218384
2001-09-15,2.383847713470459
2001-10-15,4.476921081542969
2001-11-15,4.175686836242676
2001-12-15,4.539999485015869
2002-01-15,7.486451148986816
2002-02-15,3.976827383041382
2002-03-15,2.828782081604004
2002-04-15,2.0480153560638428
2002-05-15,2.5430827140808105
2002-06-15,1.6746797561645508
2002-07-15,1.6910982131958008
2002-08-15,2.023524284362793
2002-09-15,2.6918485164642334
2002-10-15,3.763246774673462
2002-11-15,5.030379295349121
2002-12-15,5.620642185211182
2003-01-15,5.471957683563232
2003-02-15,3.699428081512451
2003-03-15,2.8543107509613037
2003-04-15,2.04180908203125
2003-05-15,2.711439847946167
2003-06-15,1.7324182987213135
2003-07-15,1.633341908454895
2003-08-15,2.111360549926758
2003-09-15,2.9275970458984375
2003-10-15,4.212782859802246
2003-11-15,5.170427322387695
2003-12-15,5.851889133453369
2004-01-15,4.921544075012207
2004-02-15,3.3914849758148193
2004-03-15,2.90716814994812
2004-04-15,2.0988829135894775
2004-05-15,2.360804319381714
2004-06-15,1.877272129058838
2004-07-15,1.7675453424453735
2004-08-15,2.2110884189605713
2004-09-15,3.036008358001709
2004-10-15,3.9643466472625732
2004-11-15,5.873128890991211
2004-12-15,6.917937755584717
2005-01-15,4.479147911071777
2005-02-15,3.672456741333008
2005-03-15,3.282470703125
2005-04-15,2.675520181655884
2005-05-15,2.5929243564605713
2005-06-15,1.8024604320526123
2005-07-15,1.7979907989501953
2005-08-15,2.2401204109191895
2005-09-15,2.9226951599121094
2005-10-15,3.241347551345825
2005-11-15,6.854957580566406
2005-12-15,5.34592866897583
2006-01-15,7.408000469207764
2006-02-15,4.557590484619141
2006-03-15,3.3368923664093018
2006-04-15,2.3888275623321533
2006-05-15,2.6334056854248047
2006-06-15,1.5014407634735107
2006-07-15,1.563618540763855
2006-08-15,2.1662769317626953
2006-09-15,2.9716532230377197
2006-10-15,4.023210048675537
2006-11-15,5.636107444763184
2006-12-15,5.440945148468018
2007-01-15,3.753150463104248
2007-02-15,3.227088689804077
2007-03-15,2.9795827865600586
2007-04-15,2.1813106536865234
2007-05-15,2.7888967990875244
2007-06-15,1.9004157781600952
2007-07-15,
2007-08-15,2.122532844543457
2007-09-15,2.767730951309204
2007-10-15,3.9489874839782715
2007-11-15,6.3079142570495605
2007-12-15,7.210837364196777
2008-01-15,4.787285804748535
2008-02-15,3.433627128601074
2008-03-15,2.581279993057251
2008-04-15,2.177882432937622
2008-05-15,2.4553000926971436
2008-06-15,1.7371233701705933
2008-07-15,1.7892991304397583
2008-08-15,2.2723896503448486
2008-09-15,2.522508144378662
2008-10-15,5.126380920410156
2008-11-15,5.242351055145264
2008-12-15,5.53498649597168
2009-01-15,5.930201530456543
2009-02-15,3.716644048690796
2009-03-15,2.716703176498413
2009-04-15,2.3722546100616455
2009-05-15,2.3285281658172607
2009-06-15,1.7068333625793457
2009-07-15,1.7486646175384521
2009-08-15,1.9985599517822266
2009-09-15,2.8235909938812256
2009-10-15,3.9676742553710938
2009-11-15,4.855072975158691
2009-12-15,4.727677345275879
2010-01-15,4.841912746429443
2010-02-15,4.033373832702637
2010-03-15,2.8572232723236084
2010-04-15,2.2028491497039795
2010-05-15,2.5521605014801025
2010-06-15,1.6369560956954956
2010-07-15,1.5262027978897095
2010-08-15,2.0981061458587646
2010-09-15,2.257086992263794
2010-10-15,4.110414505004883
2010-11-15,5.434187412261963
2010-12-15,6.966141700744629
2011-01-15,5.948460578918457
2011-02-15,3.070726156234741
2011-03-15,2.8924989700317383
2011-04-15,2.4399242401123047
2011-05-15,2.7451555728912354
2011-06-15,1.7114672660827637
2011-07-15,1.5816279649734497
2011-08-15,1.8016613721847534
2011-09-15,3.3320980072021484
2011-10-15,4.236924648284912
2011-11-15,5.598268508911133
2011-12-15,5.581784248352051
2012-01-15,4.738766670227051
2012-02-15,3.761889696121216
2012-03-15,2.595828056335449
2012-04-15,2.3658785820007324
2012-05-15,2.5416388511657715
2012-06-15,1.5749034881591797
2012-07-15,1.9057410955429077
2012-08-15,1.8998693227767944
2012-09-15,3.104158639907837
2012-10-15,4.0040740966796875
2012-11-15,5.851126670837402
2012-12-15,4.7797627449035645
2013-01-15,4.142594814300537
2013-02-15,3.2162559032440186
2013-03-15,1.979933500289917
2013-04-15,2.2325005531311035
2013-05-15,2.666733503341675
2013-06-15,1.6970070600509644
2013-07-15,1.4831334352493286
2013-08-15,2.0718507766723633
2013-09-15,2.6302740573883057
2013-10-15,4.573990345001221
2013-11-15,4.8968586921691895
2013-12-15,5.978231906890869
2014-01-15,3.2441444396972656
2014-02-15,3.8648548126220703
2014-03-15,2.2879254817962646
