,concpm25,concso4,concnh4,concno3pm25,concCecpm25,concoaf,concCocpm25
2010-01-01,24.49164,0.91028553,1.8105304,5.086386,2.9977305,11.145596,6.593882
2010-01-02,4.8164144,0.39689845,0.28846276,0.4894245,0.6045517,2.4555836,1.4297734
2010-01-03,15.166369,0.35130936,0.4442456,1.0828146,2.4503891,9.421337,5.575342
2010-01-04,16.767359,0.3469808,0.68411297,1.9126219,2.5219512,9.731445,5.7546315
2010-01-05,23.319763,0.33742326,0.91299033,2.7111602,3.6049044,13.701776,8.110096
2010-01-06,26.100676,0.306683,0.67108154,1.917688,4.284414,16.242739,9.638297
2010-01-07,10.413003,0.19705778,0.58495337,1.7726848,1.6296191,5.3002453,3.1193855
2010-01-08,21.3769,0.116931714,0.3607032,1.0914342,4.0202456,13.740698,8.178341
2010-01-09,12.881574,0.15587717,0.23737042,0.6163269,3.1098406,7.616262,4.5163193
2010-01-10,16.455208,0.43768653,0.6608999,1.7173443,2.7412453,9.332678,5.5198045
2010-01-11,23.818678,0.24953158,1.4780856,4.7723246,3.1429124,12.283302,7.232575
2010-01-12,22.44753,0.31531757,1.712232,5.524301,2.72754,10.337536,6.0537906
2010-01-13,18.409248,0.2483322,0.5397849,1.5449679,2.952023,11.464611,6.7409425
2010-01-14,24.206776,0.22071895,0.635724,1.9059627,3.963997,15.294301,9.025958
2010-01-15,23.857351,0.5642921,0.9858006,2.6779695,3.613915,13.656516,8.066075
2010-01-16,69.28941,3.1981583,7.333803,21.178436,5.2090707,20.27985,11.965081
2010-01-17,54.75495,3.7519932,6.5020022,17.614702,3.5874507,14.542478,8.543859
2010-01-18,49.880585,1.5758206,3.2479403,9.170139,6.113895,23.01651,13.65124
2010-01-19,43.482513,0.9981897,3.1866684,9.705274,4.9504805,18.679113,11.074842
2010-01-20,64.79433,1.4716996,5.9295893,18.5669,5.9252977,22.758804,13.445945
2010-01-21,92.99457,2.872181,9.721991,29.858437,6.85691,27.284187,16.045485
2010-01-22,78.90876,2.9217184,9.162793,27.85907,5.0076866,19.249388,11.33665
2010-01-23,92.20522,4.106122,10.624167,31.360376,5.829695,23.499468,13.811298
2010-01-24,93.28979,4.201146,10.302096,30.13121,6.486692,25.065844,14.770778
2010-01-25,64.51813,4.798005,8.016032,21.480274,3.7759364,15.433692,9.030406
2010-01-26,73.3781,4.3318925,8.3113165,23.098324,5.011623,20.410158,11.943133
2010-01-27,57.63314,2.8825355,5.71895,15.998485,4.9476976,19.790775,11.657902
2010-01-28,67.17397,2.4124858,7.3905554,22.3552,4.645883,18.302094,10.785847
2010-01-29,67.262,2.9927776,7.375957,21.560106,4.8756695,18.743504,11.048612
2010-01-30,13.165866,0.7154764,1.1616737,3.0842037,1.2956132,5.1171308,2.997193
2010-01-31,7.9336457,0.28329998,0.22213748,0.40196437,1.2034569,5.044689,2.9628842
2010-02-01,11.332923,0.2175052,0.28903267,0.7161385,1.7926207,7.2049155,4.252427
2010-02-02,12.618285,0.3617484,0.43432924,1.030942,1.923728,7.5587597,4.4628477
2010-02-03,18.741232,0.33044794,0.9442891,2.8309367,2.6695883,10.197309,6.039556
2010-02-04,30.554611,0.4212197,2.1950135,7.0269327,3.8276215,13.4780445,8.001442
2010-02-05,9.371741,0.17336348,0.26098433,0.67547864,2.4367986,5.0759735,2.9926028
2010-02-06,17.722591,0.4947674,0.8502653,2.2909074,2.5836976,9.628675,5.7114534
2010-02-07,39.161392,1.1904622,3.1455119,9.29913,4.1240926,15.459746,9.189172
2010-02-08,42.30117,2.3796322,3.873592,10.308957,4.0876975,16.005367,9.452457
2010-02-09,49.94018,3.1536543,5.4284267,14.665385,3.822525,15.423916,9.062984
2010-02-10,14.188091,1.2716504,1.5103999,3.5728226,1.2418827,4.9740815,2.8942492
2010-02-11,13.401567,0.8413748,1.2863746,3.347327,1.4804245,5.063278,2.9644425
2010-02-12,12.686019,0.42616475,0.8426088,2.3538125,1.5735397,6.3595457,3.7046654
2010-02-13,19.505093,0.3176093,1.2395089,3.86077,2.3806865,10.231773,5.9718585
2010-02-14,30.679972,0.8632985,3.2145724,9.983305,2.2761447,10.162149,5.9063425
2010-02-15,35.67708,1.6135755,3.8999417,11.376631,2.7245896,11.554183,6.719627
2010-02-16,18.519764,0.86933327,1.6742065,4.6538186,1.8661437,7.8154054,4.535457
2010-02-17,15.939787,0.12176288,0.54954237,1.7358768,3.040511,9.216603,5.433666
2010-02-18,12.304458,0.13296014,0.811972,2.6256747,1.8773758,5.9324584,3.4855175
2010-02-19,9.652077,0.055577,0.28659075,0.91584265,1.7576509,5.8026743,3.4193103
2010-02-20,5.8690653,0.26956087,0.19945957,0.34789342,0.89157873,3.5132856,2.0557725
2010-02-21,13.250783,0.23210369,0.8400089,2.5966296,1.7924379,6.6381373,3.9059248
2010-02-22,13.652352,0.13337843,0.6623816,2.1099532,2.0092683,7.565678,4.4485335
2010-02-23,21.919449,0.18373391,1.5212752,5.00384,2.6905744,10.524819,6.1923056
2010-02-24,27.515017,0.21209788,2.2636316,7.524045,2.8793912,11.729941,6.8683915
2010-02-25,15.246063,0.358241,1.4141062,4.411551,1.634338,5.8560057,3.404513
2010-02-26,9.024638,0.113115124,0.2529518,0.7257834,1.5252358,5.5758023,3.2604115
2010-02-27,9.169614,0.17045845,0.36825266,1.0513246,1.512946,5.212549,3.0592566
2010-02-28,13.960774,0.30191305,0.8068194,2.4033778,1.925519,7.3237605,4.3046517
2010-03-01,15.932038,0.3269142,0.92833495,2.8251784,2.0624425,8.248982,4.848207
2010-03-02,16.293766,0.2531616,0.67609555,2.0184898,2.390846,9.150609,5.4037995
2010-03-03,21.410892,0.74964786,2.186514,6.6082506,1.928027,6.9525676,4.064226
2010-03-04,11.347089,0.4487892,1.0945523,3.1941314,1.0917145,4.178308,2.449343
2010-03-05,7.7202325,0.84485626,0.6190637,1.0502065,0.8629729,3.193535,1.8762681
2010-03-06,14.938075,0.63947463,1.3144553,3.7104053,1.537782,5.9660673,3.514635
2010-03-07,13.559382,0.29392245,1.1737353,3.6655238,1.4601984,5.8925266,3.4520156
2010-03-08,29.776508,1.7168792,3.2879202,9.119058,2.404909,9.46937,5.5654483
2010-03-09,15.169034,1.0631301,1.7349819,4.6134095,1.2596836,4.927471,2.8668544
2010-03-10,10.040578,0.20367116,0.74454224,2.3027833,1.5419048,4.454762,2.604526
2010-03-11,19.513065,0.356686,2.0406861,6.570327,1.7348943,6.658755,3.9166896
2010-03-12,24.03652,0.37368152,2.4925342,8.105565,2.1679246,8.482616,4.960642
2010-03-13,21.864222,0.61439055,2.1068468,6.4747787,1.9593391,8.383126,4.8632865
2010-03-14,14.531167,0.9637914,1.4585309,3.8053586,1.2565415,5.504787,3.1842725
2010-03-15,4.234673,0.25990564,0.116023265,0.07366267,0.6134976,2.6033762,1.5154754
2010-03-16,6.5198364,0.12423515,0.057433624,0.04028971,1.0995748,4.492958,2.6379623
2010-03-17,22.647318,0.7215077,1.8665451,5.5213356,2.4078872,9.403183,5.549956
2010-03-18,28.42199,2.0017467,2.8693638,7.605229,2.4327135,9.710341,5.669927
2010-03-19,22.778862,1.7769637,2.4264123,6.296743,1.9171937,7.502007,4.3621397
2010-03-20,14.825186,1.0974329,1.1594604,2.7858846,1.4910113,6.417359,3.7039688
2010-03-21,17.376184,0.39091837,1.1418465,3.4746134,2.107125,8.745489,5.0956054
2010-03-22,35.666393,1.2591813,3.884187,11.766283,3.1593091,10.7106285,6.267463
2010-03-23,17.176981,0.445938,1.4439062,4.4191504,1.6800458,7.740488,4.407282
2010-03-24,20.637804,0.48964107,2.0840464,6.55303,1.6697388,7.3012786,4.1559753
2010-03-25,13.978359,0.3288665,1.1220857,3.4431174,1.6802844,6.157916,3.5725932
2010-03-26,8.112334,0.064599924,0.30144042,0.9550446,1.5780892,4.5482187,2.6633332
2010-03-27,9.7178135,0.20414332,0.44577712,1.3018879,1.3741711,5.457067,3.1996362
2010-03-28,11.481672,0.08821374,0.38588414,1.2156384,1.7717196,6.9466057,4.090643
2010-03-29,15.756852,0.67107624,1.417666,4.0943437,1.8378421,5.8046675,3.429212
2010-03-30,6.0955787,0.25201428,0.2863343,0.6767452,0.9949601,3.2027717,1.870022
2010-03-31,22.954624,0.35597223,1.6587591,5.2647424,2.5035894,9.7719,5.767999
2010-04-01,6.2818217,0.11160152,0.2467464,0.70648664,0.9675996,3.598613,2.1018813
2010-04-02,19.71295,0.6779866,2.0871685,6.318216,1.5719125,6.479871,3.780217
2010-04-03,10.198193,0.2544105,1.0092744,3.152984,1.0410758,3.4410942,1.9913671
2010-04-04,8.585602,0.060767487,0.39169133,1.2708353,1.3272858,4.925009,2.8871307
2010-04-05,4.8324795,0.26963276,0.10481116,0.017150903,0.7432588,3.0371404,1.7703676
2010-04-06,16.134813,0.27866635,1.5027057,4.8265977,1.4980394,6.0749087,3.5455809
