,concpm25,concso4,concnh4,concno3pm25,concCecpm25,concoaf,concCocpm25
2010-01-01,7.064294,0.9754127,1.1040758,2.567958,0.36300775,0.8698563,0.50324875
2010-01-02,6.562164,0.8479029,1.08291,2.6682975,0.25412545,0.8010682,0.456854
2010-01-03,6.8396015,0.45891958,0.8006981,2.1749353,0.6827755,1.3938043,0.84437555
2010-01-04,20.94484,1.6915658,3.1756923,8.779721,0.96609515,1.8691425,1.1491845
2010-01-05,24.033962,1.826251,3.4267435,9.461045,1.2091217,2.2544773,1.3933724
2010-01-06,12.378016,1.3929464,1.982604,5.0467877,0.6103741,1.3918147,0.82143086
2010-01-07,13.92767,0.92130226,2.0765262,5.9699864,0.7721717,1.6303617,0.98089737
2010-01-08,6.785816,1.3372214,1.0909728,2.0350795,0.31837767,0.79315,0.44550863
2010-01-09,5.2767425,1.1347758,0.82098186,1.3665867,0.26496407,0.7001217,0.39161286
2010-01-10,8.266977,0.76545995,1.1912143,3.1187918,0.5344761,1.2869271,0.75252706
2010-01-11,23.836445,1.2382734,3.337152,9.898383,1.1357615,2.5869384,1.5523422
2010-01-12,27.241726,1.1655874,3.774328,11.499981,1.2575494,3.0666487,1.8272948
2010-01-13,10.381232,1.4157238,1.5725386,3.5892034,0.6843048,1.2177756,0.7203011
2010-01-14,21.150162,2.454077,2.8935573,6.8029857,1.3341826,2.5694618,1.574794
2010-01-15,20.80672,0.7795326,2.6838357,8.239518,1.3035203,2.7804766,1.7007258
2010-01-16,11.029729,0.48176575,1.3881558,4.1614723,0.8136565,1.8969417,1.1306299
2010-01-17,6.2442055,0.83870566,0.747899,1.5124166,0.45985094,1.1017609,0.6535079
2010-01-18,10.964536,1.3340709,1.445517,3.2811987,0.73887575,1.5496364,0.94230825
2010-01-19,19.34371,2.7254214,2.8013363,6.1515646,0.9973179,2.03711,1.2567754
2010-01-20,12.495425,1.1813563,1.7015991,4.342985,0.87494546,1.6107479,0.971799
2010-01-21,11.254259,1.7831606,1.5675119,3.1454215,0.7684858,1.456707,0.8805336
2010-01-22,22.00457,2.811501,3.2899973,7.767006,1.0377908,2.1149569,1.2932613
2010-01-23,28.007946,2.2641494,3.94901,10.690726,1.3827196,2.9330037,1.7985237
2010-01-24,20.7206,1.1843969,2.9115882,8.563877,1.3195223,3.0704222,1.8192542
2010-01-25,8.8334675,1.2991271,1.4561447,3.3386571,0.46340522,0.93549156,0.5375386
2010-01-26,11.596801,2.0517356,2.0294664,4.3470273,0.34238565,0.9863793,0.56031406
2010-01-27,21.07223,2.4026675,3.5090668,8.993391,0.5842295,1.5576538,0.91032094
2010-01-28,6.7494974,0.98686266,1.0095103,2.2111154,0.42519328,1.0472046,0.6032731
2010-01-29,2.8417287,0.3634741,0.34224808,0.73055047,0.2518823,0.686265,0.38270372
2010-01-30,4.7274175,0.5224463,0.5851868,1.3518038,0.42382511,1.0003883,0.5910839
2010-01-31,8.091165,1.2655376,1.1929407,2.4841573,0.4811034,1.1308239,0.6745408
2010-02-01,6.89312,0.8422838,0.9971865,2.355993,0.42338893,1.0895715,0.6343717
2010-02-02,3.1152928,0.40690085,0.35615984,0.7057059,0.27348188,0.81816554,0.4632701
2010-02-03,5.289005,0.44255987,0.58356285,1.4463317,0.5628999,1.3083742,0.7797402
2010-02-04,15.581554,0.7766327,1.94186,5.6914635,1.25271,2.4541175,1.5042399
2010-02-05,6.090491,0.34510136,0.76073927,2.1746485,0.6775913,1.2009023,0.71097064
2010-02-06,15.561115,1.9870546,2.2122657,5.0564556,1.0214931,1.9740734,1.1996523
2010-02-07,23.786514,3.6508873,4.161807,9.664307,0.5982378,1.465384,0.86036694
2010-02-08,33.994694,5.516405,5.3836646,11.447749,1.0869749,2.5012968,1.4955827
2010-02-09,29.71747,3.6863856,4.578068,11.0220585,1.1469611,2.2821314,1.3681989
2010-02-10,18.20847,3.4312835,3.117219,6.356818,0.5342049,1.4158689,0.82315093
2010-02-11,11.054165,2.7404568,1.8595198,2.8707323,0.35080734,0.96442,0.5448378
2010-02-12,22.198631,4.3098145,3.6117146,6.8797765,0.713645,1.751408,1.0259928
2010-02-13,35.98296,5.666123,5.8512444,12.851535,1.0042561,2.4050992,1.4167036
2010-02-14,39.089874,4.8406415,6.151304,14.969399,1.0732605,2.9140644,1.7001387
2010-02-15,36.966503,2.9489846,5.563108,15.36933,1.0450642,3.3429267,1.9288021
2010-02-16,34.500957,1.8393302,4.9301105,14.618034,1.2792413,3.7321818,2.1719904
2010-02-17,30.619179,1.4340377,4.5170326,13.717171,1.0371807,2.997138,1.7424624
2010-02-18,12.0903225,0.66549546,1.7313118,5.104385,0.8026244,1.5418413,0.91115206
2010-02-19,6.897969,0.8836877,1.0301101,2.4283586,0.5119489,0.87494373,0.5035528
2010-02-20,7.182095,0.5954721,1.0993761,3.0488741,0.4049428,1.1588117,0.66559327
2010-02-21,6.73329,0.29926667,0.8050446,2.3887055,0.6855566,1.6519542,0.9799435
2010-02-22,5.6545644,0.24531385,0.6746317,2.0076363,0.56876767,1.461969,0.85517514
2010-02-23,3.9970837,0.1520585,0.4081157,1.2100073,0.47314158,1.1929501,0.697142
2010-02-24,4.2999167,0.22882791,0.48364058,1.3709338,0.45721596,1.1606004,0.6762796
2010-02-25,2.1682854,0.098708816,0.1681337,0.45186627,0.35854185,0.7853492,0.44485828
2010-02-26,3.0012677,0.29824814,0.27987158,0.58306694,0.2967796,0.87048197,0.4984131
2010-02-27,9.115461,0.5028155,1.1911725,3.4577847,0.64651024,1.5542977,0.93029857
2010-02-28,2.9665792,0.18055516,0.19173723,0.44291377,0.3185581,0.9190546,0.5265501
2010-03-01,5.9407415,0.30211082,0.7439999,2.1786153,0.5106016,1.1396037,0.6728407
2010-03-02,9.438971,0.96301264,1.4209592,3.6538992,0.54136485,1.2563655,0.74012494
2010-03-03,15.011838,1.5202672,2.6155858,7.0754023,0.47273913,1.2288488,0.7133828
2010-03-04,12.326241,1.5649568,2.085605,5.1915307,0.39606637,1.1577,0.6649109
2010-03-05,9.45028,0.73590463,1.4386883,4.019495,0.4841112,1.1722165,0.6983377
2010-03-06,8.089978,0.97984606,1.3495312,3.3931472,0.32138154,0.93896085,0.5381034
2010-03-07,12.159774,2.052921,2.1267002,4.677297,0.33275846,1.0575659,0.5996108
2010-03-08,12.77805,2.127852,2.1571653,4.6906676,0.39776915,1.2261231,0.70276314
2010-03-09,15.444058,3.2012017,2.6124141,4.872121,0.41222173,1.4092641,0.804777
2010-03-10,17.230036,3.1577635,2.8090088,5.606514,0.53115016,1.8490856,1.0549111
2010-03-11,17.931725,3.2974281,3.0345929,6.1984434,0.47303882,1.3442973,0.7740679
2010-03-12,26.953995,2.4997501,4.3324413,11.712374,0.76058096,2.1070933,1.2242705
2010-03-13,28.75949,2.53786,4.6116376,12.680165,0.85682774,2.272412,1.3304032
2010-03-14,16.189003,2.1422427,2.5525236,6.13693,0.59032685,1.4530208,0.8672424
2010-03-15,8.947627,1.3599021,1.3199997,2.8368134,0.4549508,1.2264962,0.7266647
2010-03-16,13.192579,0.95156693,2.0134661,5.7441397,0.58260095,1.5000653,0.88484687
2010-03-17,13.363774,0.75392234,1.8367252,5.369735,0.8840588,2.3824646,1.4059145
2010-03-18,16.588785,0.80233485,2.175912,6.49634,1.1822542,3.2395341,1.9154288
2010-03-19,15.108893,0.885201,1.5771339,4.6548443,0.9850897,2.9446254,1.7062584
2010-03-20,13.1369505,1.1458167,1.073995,2.6197963,0.7157506,2.6942186,1.5190947
2010-03-21,7.8889713,0.56796175,1.0494281,2.8875518,0.6091033,1.5325265,0.891776
2010-03-22,15.950484,1.2129434,2.3876395,6.6771584,0.6692397,1.9668074,1.1493939
2010-03-23,24.098404,0.99155974,3.5589204,10.994627,0.74166,2.6495538,1.5136259
2010-03-24,23.040699,0.8953317,3.164399,9.755109,0.76792186,3.5327635,1.981135
2010-03-25,17.548317,1.1001799,2.2899373,6.5787215,0.8048444,3.2468781,1.8263772
2010-03-26,2.6516223,0.09282348,0.2343458,0.6878721,0.34655634,0.9258697,0.52684647
2010-03-27,1.2749137,0.10016809,0.08114976,0.1503911,0.17451164,0.5834287,0.3176884
2010-03-28,2.788291,0.2021419,0.29922566,0.7750967,0.27142495,0.8499647,0.48163283
2010-03-29,6.303708,0.2567626,0.7988055,2.435581,0.473125,1.5770553,0.9176354
2010-03-30,2.723546,0.16447125,0.27321792,0.7417481,0.21512784,0.8297019,0.46448043
2010-03-31,1.6123263,0.12630805,0.10805331,0.21030542,0.20548837,0.66752964,0.36866876
2010-04-01,2.9634268,0.16925527,0.2786817,0.745247,0.2886799,0.8954284,0.5186364
2010-04-02,3.4266374,0.2304672,0.36599326,0.9677266,0.29932043,0.9465642,0.54178584
2010-04-03,3.141396,0.20175624,0.40701625,1.1461558,0.2316845,0.8040437,0.44336513
2010-04-04,2.5991385,0.306265,0.2714797,0.543887,0.22269654,0.77180547,0.43526345
2010-04-05,7.2646694,0.62419987,1.0127761,2.704522,0.3911708,1.1165569,0.6511331
2010-04-06,13.923326,0.5423821,1.9815512,6.1373534,0.5837387,1.7523637,1.028301
2010-04-07,14.79888,0.7495424,2.1295807,6.38531,0.53461,1.8472626,1.0583762
2010-04-08,12.693114,1.2693678,2.0845242,5.5539827,0.43404663,1.5132037,0.8448552
2010-04-09,28.843817,2.7381916,4.7269025,12.793291,0.57155246,2.492579,1.3628482
2010-04-10,12.930112,1.2905221,2.1593,5.850116,0.33363923,1.1726161,0.66086894
2010-04-11,5.6769476,0.7063986,0.88668096,2.157055,0.1866218,0.93088794,0.50870353
2010-04-12,7.039136,0.7534829,1.1003684,2.8208756,0.2550661,1.1224934,0.6133272
2010-04-13,10.4816,0.67161787,1.5605644,4.5112734,0.4461546,1.6597078,0.9344174
2010-04-14,12.054561,0.7260363,1.8084923,5.2945423,0.41481248,1.6521934,0.9145575
2010-04-15,9.826237,1.0106493,1.5625284,4.081101,0.29709086,1.5620582,0.8338645
2010-04-16,11.470603,1.4507397,1.846412,4.4953866,0.30401856,1.6030114,0.86218774
2010-04-17,15.882829,1.4415003,2.4213905,6.49409,0.44812372,2.3086605,1.2631743
2010-04-18,12.532355,1.0607117,1.6952388,4.4785748,0.46848318,2.8709152,1.5274113
