,concpm25,concso4,concnh4,concno3pm25,concCecpm25,concoaf,concCocpm25
2010-04-07,2.3872726,0.36584374,0.23036768,0.35080957,0.0659974,0.8078959,0.4315665
2010-04-08,3.4629915,0.40310737,0.2905779,0.4855263,0.21469332,1.4644192,0.81537676
2010-04-09,3.412799,0.66089475,0.27358362,0.1219088,0.17444296,1.5055411,0.79560685
2010-04-10,12.368805,1.3591043,1.5862176,3.7652247,0.5077798,3.4038715,1.835818
2010-04-11,10.236756,0.9942791,1.4507958,3.7825975,0.27791497,2.465573,1.3181112
2010-04-12,0.86862487,0.10293984,0.05037932,0.04190952,0.013309218,0.5785678,0.29625216
2010-04-13,8.844083,0.88444656,1.2564214,3.2026012,0.3315263,2.0819042,1.1212302
2010-04-14,6.839187,0.86916834,0.7897953,1.6110773,0.26452926,2.2940907,1.222051
2010-04-15,10.17879,0.7916542,1.2859913,3.4248447,0.41620895,3.028087,1.6319337
2010-04-16,3.4035976,0.332188,0.30731916,0.63668454,0.12976474,1.6439357,0.84393185
2010-04-17,5.404254,0.78296757,0.39306587,0.36834043,0.29380158,2.615568,1.3641672
2010-04-18,13.474271,2.528735,1.9191095,3.4343965,0.38130075,2.8306139,1.4817213
2010-04-19,3.620126,0.60699236,0.3015398,0.27067417,0.13568197,1.6786077,0.8891812
2010-04-20,9.3789425,0.9013808,1.2076507,3.0320501,0.30666408,2.6968796,1.4497176
2010-04-21,6.501546,1.054992,0.55546784,0.59391546,0.31311622,2.6562746,1.4257071
2010-04-22,4.7534094,1.1166401,0.4814717,0.30112153,0.098101854,1.6958973,0.8639231
2010-04-23,5.5673265,0.76232356,0.6505183,1.2969354,0.18967561,1.7485194,0.93998384
2010-04-24,6.5804424,0.8657679,0.5624435,0.9223162,0.27333453,2.4524722,1.3138286
2010-04-25,5.199539,0.75772554,0.32342705,0.16827464,0.2753191,2.6913934,1.4414144
2010-04-26,11.169774,1.4917029,1.2461027,2.434733,0.37282377,3.7484164,1.9826348
2010-04-27,8.83081,1.0782028,0.7680609,1.3103743,0.43350968,3.6603074,1.9838641
2010-04-28,7.249829,1.1434228,0.5134404,0.44136938,0.40369248,3.1270118,1.6710016
2010-04-29,7.7693586,1.7375393,0.6978726,0.38235265,0.30470875,2.832928,1.4707494
2010-04-30,6.141148,1.4441297,0.6380251,0.56201136,0.129526,1.92023,0.98450714
2010-05-01,3.97218,0.80025417,0.34637207,0.28722948,0.2093183,1.4692755,0.7605948
2010-05-02,4.5414066,0.9168434,0.6181443,0.9726665,0.15327413,1.0103084,0.5467674
2010-05-03,0.8147946,0.057428136,0.034885906,0.046192482,0.045703482,0.5540975,0.28995368
2010-05-04,1.1926583,0.054655276,0.05034321,0.10295806,0.08542752,0.76271534,0.41062462
2010-05-05,3.1357694,0.34561846,0.36946297,0.82777506,0.13663788,1.0405529,0.56435
2010-05-06,10.1849,1.243751,1.6693078,4.162579,0.25620297,1.441703,0.79786485
2010-05-07,12.303857,1.9496548,1.9570242,4.2922077,0.32759544,1.6414163,0.9039538
2010-05-08,10.008059,1.7473407,1.4886351,2.890507,0.3218916,1.8275192,1.0082153
2010-05-09,11.907068,2.7840507,1.5349803,2.1103876,0.31000236,1.9066372,1.0544586
2010-05-10,4.3635387,0.7286934,0.46957666,0.6945916,0.19986257,1.3542321,0.75810933
2010-05-11,9.489466,1.0546607,1.3379896,3.2734497,0.32882252,2.037253,1.1346016
2010-05-12,1.7235706,0.11731987,0.11596856,0.25139186,0.05892386,1.0589627,0.5722835
2010-05-13,1.2964098,0.041506045,0.07280001,0.19764379,0.062913045,0.85039264,0.45242357
2010-05-14,3.609362,0.25915256,0.47618484,1.3063056,0.16469128,1.0462506,0.5590072
2010-05-15,8.522498,0.66424483,1.3416702,3.7737424,0.22027484,1.7130353,0.93414277
2010-05-16,9.710136,0.7455515,1.5877458,4.5188293,0.22338772,1.6470616,0.9084945
2010-05-17,13.947465,2.3207686,2.162709,4.5852876,0.28446758,1.7503638,0.98308045
2010-05-18,19.247456,2.00609,2.9566438,7.8921623,0.46043837,2.411626,1.3625151
2010-05-19,9.585551,1.6629591,1.3386145,2.6432323,0.20815225,1.6992004,0.9231681
2010-05-20,24.68233,2.938161,3.7518528,9.354005,0.47406346,3.0352585,1.6707027
2010-05-21,19.890755,3.0299106,2.7559168,5.979072,0.39133784,3.686848,1.9836447
2010-05-22,3.681591,0.39100754,0.1943205,0.21374151,0.16501515,2.2080576,1.1989367
2010-05-23,8.851115,1.1125075,0.68870986,1.0268307,0.35732746,4.3054,2.2399654
2010-05-24,5.8285017,0.97314495,0.36983812,0.1508277,0.17505379,3.077415,1.5443574
2010-05-25,5.5296617,0.8981037,0.34066808,0.1843395,0.17965983,2.859403,1.4272592
2010-05-26,6.924844,1.1593027,0.46834636,0.38319862,0.16983636,2.4781024,1.286619
2010-05-27,5.1031694,0.72014874,0.34944525,0.35631776,0.20419948,2.3075197,1.2289667
2010-05-28,3.3392508,0.29561833,0.14520393,0.13406877,0.12251963,2.191871,1.1833951
2010-05-29,12.730222,1.3769082,1.6701677,4.079203,0.3836858,3.1703339,1.7035168
2010-05-30,9.120946,1.4262787,1.0294054,1.8503436,0.2230206,2.8842528,1.5394007
2010-05-31,9.725987,1.5187137,1.1010184,2.0930824,0.22884409,2.6423218,1.4115809
2010-06-01,11.151185,2.2504206,1.3327498,1.9913431,0.25721398,2.3734207,1.2769946
2010-06-02,9.044295,2.158383,1.0008034,1.0233824,0.14345467,2.0958347,1.0935227
2010-06-03,12.529068,3.214,1.4078592,1.1948681,0.2633681,2.9311676,1.5568538
2010-06-04,10.180796,2.0524497,0.8277022,0.57433015,0.3795324,3.5935948,1.9205384
2010-06-05,9.666654,2.0510478,0.77437985,0.44513112,0.28100473,3.8436377,2.0050867
2010-06-06,14.15384,1.9112359,1.4739195,2.7881963,0.49790195,4.7720075,2.5206952
2010-06-07,10.476211,2.0720704,0.8231812,0.41030198,0.32825366,4.4526744,2.2640724
2010-06-08,12.555563,3.425624,1.1786311,0.6784606,0.20913805,3.8485672,1.9110861
2010-06-09,10.196515,3.033896,1.1250551,0.6501658,0.121639445,2.306624,1.1679767
2010-06-10,5.704291,1.0679471,0.6125328,0.81605417,0.20756364,1.395519,0.76432824
2010-06-11,5.6383777,0.92533576,0.53990376,0.6967575,0.28266752,1.9143198,1.0510587
2010-06-12,5.4230485,0.86586785,0.3448765,0.1447564,0.24066378,2.5723503,1.3861626
2010-06-13,6.4437337,1.1831107,0.47663414,0.22909042,0.24376851,2.9167507,1.5589585
2010-06-14,4.3410683,0.88996613,0.44631645,0.46830362,0.112622574,1.5033798,0.7856684
2010-06-15,3.0483499,0.26869443,0.224732,0.43101478,0.19878486,1.4349648,0.78527045
2010-06-16,3.1664171,0.6595446,0.2574617,0.039496463,0.14072011,1.3515499,0.72875947
2010-06-17,6.2954364,0.7860514,0.6424855,1.2155721,0.2372802,2.4008965,1.2733148
2010-06-18,6.383057,1.2305789,0.5766683,0.49571097,0.18053932,2.628753,1.38747
2010-06-19,5.472817,1.1291959,0.5015563,0.31516835,0.16234146,2.2696083,1.1804408
2010-06-20,2.4764724,0.37589818,0.17208527,0.122138426,0.12155625,1.1752361,0.6371519
2010-06-21,4.9068465,0.8975414,0.44225016,0.51715887,0.16594942,1.4706388,0.80557907
2010-06-22,12.380505,2.7185936,1.3766502,1.764793,0.32404736,2.967415,1.5801717
2010-06-23,10.82574,2.509904,1.0345732,0.7432213,0.3366685,3.2746542,1.7409357
2010-06-24,10.918824,2.3421905,0.8965361,0.58294135,0.37377682,3.9717145,2.0827954
2010-06-25,12.363594,2.4919608,0.93827564,0.5749766,0.38486478,5.2307153,2.7099478
2010-06-26,13.319779,2.732012,1.0260583,0.47054163,0.40915555,5.826248,2.9977448
2010-06-27,14.649951,2.6599376,0.999161,0.32204762,0.42003223,7.509317,3.9119482
2010-06-28,10.38073,1.6733061,0.6415826,0.16053128,0.3273821,5.727444,2.9945228
2010-06-29,9.142573,1.0515056,0.3985071,0.022529991,0.24014427,6.1790657,3.2407649
2010-06-30,6.8341937,0.70599705,0.2725532,0.039756417,0.19344129,4.7313056,2.4985418
2010-07-01,11.946361,1.8116683,0.68702376,0.27713197,0.40083063,6.429747,3.2857409
2010-07-02,16.464453,2.797874,1.0573223,0.6089649,0.44217178,8.097834,4.062837
2010-07-03,18.933996,3.958327,1.5186275,0.5795382,0.36326516,8.6736145,4.4364486
2010-07-04,12.768327,1.937629,0.7323908,0.19228059,0.28732935,7.428568,3.8518987
2010-07-05,11.005949,1.5229844,0.64774185,0.40108925,0.2910014,5.99894,3.131766
2010-07-06,15.192966,3.0664778,1.2388103,0.7645596,0.35091642,6.048241,3.1424093
2010-07-07,14.707377,2.8761356,1.116723,0.58173656,0.4138521,6.0815697,3.1729963
2010-07-08,13.441722,2.1881635,0.82428217,0.4692977,0.40530115,6.6570997,3.465917
2010-07-09,15.414211,3.0070794,1.1330935,0.6766186,0.2849919,6.9318857,3.5033312
2010-07-10,15.205254,2.1014853,0.79153955,0.5314725,0.26206556,7.9903507,4.131909
