,var,station_id,period,season,trend [%/yr],trend err [%/yr],yoffs,slope,slope err,num yrs,pval,unit
0,concCecpm25,NO0002R;NO0001R,2000-2019,all,-3.3841676444892945,1.149350262288178,0.12540624098124098,-0.004243957431457431,0.0012569602272727264,19,0.0001583185669873452,ug C m-3
1,concCecpm25,NO0002R;NO0001R,2000-2019,spring,-2.9574061384210335,0.9359631825076008,0.15403888888888892,-0.004555555555555557,0.001195436507936508,19,0.0014130922285316276,ug C m-3
2,concCecpm25,NO0002R;NO0001R,2000-2019,summer,-2.443073416090588,0.710038855600634,0.09342361111111114,-0.0022824074074074088,0.0005930375180375191,18,0.009950827924350883,ug C m-3
3,concCecpm25,NO0002R;NO0001R,2000-2019,autumn,0.0483491689070898,2.457584213830611,0.07109739583333333,3.437500000000055e-05,0.0017472222222222216,18,0.9395704158247962,ug C m-3
4,concCecpm25,NO0002R;NO0001R,2000-2019,winter,-1.8920422927100722,1.331528449587901,0.11980000000000002,-0.002266666666666667,0.0014916666666666659,18,0.17514287582080246,ug C m-3
5,concCecpm25,NO0002R;NO0001R,2000-2010,all,-3.7329224615234233,1.8910762422073064,0.1434268298059965,-0.005354012345679015,0.0025846286525974043,10,0.10831349206349207,ug C m-3
6,concCecpm25,NO0002R;NO0001R,2000-2010,spring,-5.230177135244488,3.492521584200493,0.16889166666666666,-0.008833333333333335,0.005520370370370372,10,0.04662257495590829,ug C m-3
7,concCecpm25,NO0002R;NO0001R,2000-2010,summer,-2.2968964055862724,3.64902526923497,0.09394722222222222,-0.00215787037037037,0.0034027777777777784,9,0.47670855379188715,ug C m-3
8,concCecpm25,NO0002R;NO0001R,2000-2010,autumn,11.098722886681529,14.648776663880417,0.041108333333333344,0.0045625,0.004583333333333328,9,0.3454475304692258,ug C m-3
9,concCecpm25,NO0002R;NO0001R,2000-2010,winter,2.296383034087957,7.131982618793044,0.08539999999999999,0.001961111111111115,0.006034523809523802,9,0.612202380952381,ug C m-3
10,concCecpm25,NO0002R;NO0001R,2010-2019,all,-4.567404579572158,2.230525383747026,0.09961893939393943,-0.004550000000000002,0.002184501262626261,10,0.002212852733686067,ug C m-3
11,concCecpm25,NO0002R;NO0001R,2010-2019,spring,-2.6750887422224023,3.9202751272478533,0.10290416666666666,-0.0027527777777777776,0.004013888888888886,10,0.6006536596119929,ug C m-3
12,concCecpm25,NO0002R;NO0001R,2010-2019,summer,-3.621353155938556,2.361054077690433,0.07238809523809524,-0.0026214285714285693,0.001689999999999995,10,0.15076277502664528,ug C m-3
13,concCecpm25,NO0002R;NO0001R,2010-2019,autumn,-5.151688609044074,3.4353381056373844,0.09462916666666665,-0.004874999999999997,0.0031305555555555527,10,0.10831349206349207,ug C m-3
14,concCecpm25,NO0002R;NO0001R,2010-2019,winter,-6.817228514029629,3.987243577518682,0.12582499999999996,-0.008577777777777778,0.004759375000000001,10,0.21637345679012346,ug C m-3
15,concCecpm25,NO0002R;NO0001R,2005-2019,all,-3.768606623198246,1.2463202937875169,0.11199062500000001,-0.004220486111111111,0.0013182103775853783,15,0.00011760372441589373,ug C m-3
16,concCecpm25,NO0002R;NO0001R,2005-2019,spring,-3.0233678631655025,1.165710780338786,0.1257878787878788,-0.003803030303030304,0.0014121527777777795,15,0.00414288160001619,ug C m-3
17,concCecpm25,NO0002R;NO0001R,2005-2019,summer,-3.0125591703833403,1.0216487857559846,0.08701666666666664,-0.0026214285714285693,0.0008214781746031764,15,0.029249571369579952,ug C m-3
18,concCecpm25,NO0002R;NO0001R,2005-2019,autumn,-4.318199825687345,2.626982922412898,0.10517500000000002,-0.004541666666666666,0.002479166666666666,15,0.11424717239544455,ug C m-3
19,concCecpm25,NO0002R;NO0001R,2005-2019,winter,-2.8621068032187296,2.271039577512068,0.12151111111111113,-0.003477777777777781,0.0026576388888888895,15,0.23945881568583288,ug C m-3
20,concCecpm25,PL0005R,2000-2019,all,,,,,,10,,ug C m-3
21,concCecpm25,PL0005R,2000-2019,spring,,,,,,10,,ug C m-3
22,concCecpm25,PL0005R,2000-2019,summer,,,,,,10,,ug C m-3
23,concCecpm25,PL0005R,2000-2019,autumn,,,,,,10,,ug C m-3
24,concCecpm25,PL0005R,2000-2019,winter,,,,,,10,,ug C m-3
25,concCecpm25,PL0005R,2000-2010,all,,,,,,1,,ug C m-3
26,concCecpm25,PL0005R,2000-2010,spring,,,,,,1,,ug C m-3
27,concCecpm25,PL0005R,2000-2010,summer,,,,,,1,,ug C m-3
28,concCecpm25,PL0005R,2000-2010,autumn,,,,,,1,,ug C m-3
29,concCecpm25,PL0005R,2000-2010,winter,,,,,,1,,ug C m-3
30,concCecpm25,PL0005R,2010-2019,all,-4.6586354241619246,1.2726613496886803,0.6070732899073179,-0.02828133133424753,0.0052609570301624005,10,2.9761904761904762e-05,ug C m-3
31,concCecpm25,PL0005R,2010-2019,spring,-3.794942644207659,2.055757879724875,0.5616726830517152,-0.021315156169994867,0.009263196614698283,10,0.00468694885361552,ug C m-3
32,concCecpm25,PL0005R,2010-2019,summer,-6.2041197664225605,1.7527965980441984,0.316226126472094,-0.01961904761904759,0.005304446151220362,10,0.00011518959435626102,ug C m-3
33,concCecpm25,PL0005R,2010-2019,autumn,-5.412394915389348,1.8644233222541136,0.7137638888888891,-0.03863172043010751,0.01292061595645825,10,0.0003576940035273369,ug C m-3
34,concCecpm25,PL0005R,2010-2019,winter,-5.669907822505933,5.221885895653231,0.9926417818740396,-0.05628187403993845,0.028724561804905735,10,0.04662257495590829,ug C m-3
