time,pr
2017-07-15,128.7
2017-08-15,50.300000000000004
2017-09-15,92.60000000000001
2017-10-15,74.6
2017-11-15,46.400000000000006
2017-12-15,29.5
2018-01-15,29.2
2018-02-15,14.899999999999999
2018-03-15,31.300000000000004
2018-04-15,29.5
2018-05-15,58.0
2018-06-15,22.400000000000002
2018-07-15,80.7
2018-08-15,37.6
2018-09-15,52.199999999999996
2018-10-15,46.8
2018-11-15,9.899999999999999
2018-12-15,69.60000000000001
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
