time,vmro3max
2000-06-30,45.78880500793457
2001-07-01,44.28870964050293
2002-07-01,
2003-07-01,46.270103454589844
2004-06-30,43.01689147949219
2005-07-01,
2006-07-01,44.78998565673828
2007-07-01,
2008-06-30,
2009-07-01,42.88435363769531
2010-07-01,43.339111328125
2011-07-01,42.618289947509766
2012-06-30,41.562055587768555
2013-07-01,43.388383865356445
2014-07-01,44.61830139160156
2015-07-01,44.444091796875
2016-06-30,42.30350875854492
2017-07-01,42.32841682434082
2018-07-01,
2019-07-01,44.14802169799805
