time,vmro3max
2000-06-30,
2001-07-01,38.59061813354492
2002-07-01,39.88264846801758
2003-07-01,38.56309127807617
2004-06-30,
2005-07-01,37.19884490966797
2006-07-01,38.53775405883789
2007-07-01,39.084835052490234
2008-06-30,40.11089324951172
2009-07-01,
2010-07-01,38.047000885009766
2011-07-01,39.074947357177734
2012-06-30,38.874488830566406
2013-07-01,37.8795280456543
2014-07-01,
2015-07-01,39.346431732177734
2016-06-30,38.56766891479492
2017-07-01,38.839988708496094
2018-07-01,38.85745620727539
2019-07-01,40.25429344177246
