time,vmro3max
2000-06-30,56.618889808654785
2001-07-01,
2002-07-01,56.104143142700195
2003-07-01,58.07651329040527
2004-06-30,54.088897705078125
2005-07-01,56.109039306640625
2006-07-01,56.341490745544434
2007-07-01,55.96074867248535
2008-06-30,54.17678451538086
2009-07-01,54.42543888092041
2010-07-01,
2011-07-01,
2012-06-30,54.97479248046875
2013-07-01,52.224910736083984
2014-07-01,51.435516357421875
2015-07-01,53.12348175048828
2016-06-30,51.35737323760986
2017-07-01,53.57737350463867
2018-07-01,51.809855461120605
2019-07-01,
