time,vmro3max
2000-06-30,59.85251235961914
2001-07-01,59.55792999267578
2002-07-01,
2003-07-01,63.80846977233887
2004-06-30,58.53715515136719
2005-07-01,60.13225746154785
2006-07-01,58.76046562194824
2007-07-01,58.04283905029297
2008-06-30,56.939016342163086
2009-07-01,57.91378688812256
2010-07-01,56.38234901428223
2011-07-01,56.45559501647949
2012-06-30,56.316871643066406
2013-07-01,54.732892990112305
2014-07-01,55.77757453918457
2015-07-01,55.56793689727783
2016-06-30,
2017-07-01,54.987884521484375
2018-07-01,55.263779640197754
2019-07-01,56.60011863708496
