time,vmro3max
2000-06-30,34.616065216064456
2001-07-01,32.247616577148435
2002-07-01,33.87408981323242
2003-07-01,32.96845703125
2004-06-30,32.885827255249026
2005-07-01,31.120802688598634
2006-07-01,35.97117195129395
2007-07-01,33.0991943359375
2008-06-30,33.98423080444336
2009-07-01,32.84856491088867
2010-07-01,32.98055229187012
2011-07-01,34.91590042114258
2012-06-30,33.26151580810547
2013-07-01,34.9770263671875
2014-07-01,
2015-07-01,
2016-06-30,34.515601348876956
2017-07-01,33.94301261901855
2018-07-01,34.102012634277344
2019-07-01,35.8989013671875
