time,vmro3max
2000-06-30,
2001-07-01,26.05155258178711
2002-07-01,25.298124694824217
2003-07-01,24.6090576171875
2004-06-30,25.166013336181642
2005-07-01,23.75143337249756
2006-07-01,23.847841644287108
2007-07-01,24.27963180541992
2008-06-30,24.092792320251466
2009-07-01,24.470682907104493
2010-07-01,24.78721294403076
2011-07-01,23.63999080657959
2012-06-30,24.243181228637695
2013-07-01,26.466177749633786
2014-07-01,26.418150329589846
2015-07-01,26.68553924560547
2016-06-30,25.229804229736327
2017-07-01,24.661188888549805
2018-07-01,25.853155899047852
2019-07-01,26.31423988342285
