time,vmro3max
2000-06-30,67.98794746398926
2001-07-01,67.0932846069336
2002-07-01,65.10083923339843
2003-07-01,68.69717102050781
2004-06-30,62.869497489929195
2005-07-01,65.24455261230469
2006-07-01,64.98037033081054
2007-07-01,65.09711685180665
2008-06-30,62.48509426116942
2009-07-01,62.531396484375
2010-07-01,60.99371566772459
2011-07-01,64.0329605102539
2012-06-30,61.467631912231454
2013-07-01,61.31482696533204
2014-07-01,59.24955291748047
2015-07-01,61.66102523803711
2016-06-30,59.90621490478515
2017-07-01,60.64961776733398
2018-07-01,59.86881790161133
2019-07-01,59.610321235656734
