time,vmro3max
2000-06-30,24.23583221435547
2001-07-01,26.29588508605957
2002-07-01,24.476324844360352
2003-07-01,24.485273361206055
2004-06-30,25.37590789794922
2005-07-01,24.63438606262207
2006-07-01,25.109034347534177
2007-07-01,27.082149696350097
2008-06-30,25.947146606445312
2009-07-01,25.03999729156494
2010-07-01,21.800143814086912
2011-07-01,24.745467758178712
2012-06-30,25.536657333374023
2013-07-01,26.18200340270996
2014-07-01,26.033354949951175
2015-07-01,28.7408748626709
2016-06-30,26.268610954284668
2017-07-01,28.3105899810791
2018-07-01,24.56004066467285
2019-07-01,29.131564331054687
