time,vmro3max
2000-06-30,40.4108829498291
2001-07-01,40.47141456604004
2002-07-01,42.4656982421875
2003-07-01,43.46440887451172
2004-06-30,39.59836959838867
2005-07-01,40.40538787841797
2006-07-01,40.961402893066406
2007-07-01,38.245338439941406
2008-06-30,40.38253211975098
2009-07-01,40.745609283447266
2010-07-01,40.70536422729492
2011-07-01,39.36083984375
2012-06-30,38.062469482421875
2013-07-01,39.848052978515625
2014-07-01,40.99408721923828
2015-07-01,
2016-06-30,39.15343475341797
2017-07-01,39.61100387573242
2018-07-01,42.95433807373047
2019-07-01,41.06353759765625
