time,vmro3max
2000-06-30,
2001-07-01,
2002-07-01,62.250095558166535
2003-07-01,64.42538452148438
2004-06-30,59.888726806640626
2005-07-01,59.92899494171143
2006-07-01,59.26497436523439
2007-07-01,
2008-06-30,63.01958045959472
2009-07-01,58.24899391174316
2010-07-01,61.26907672882078
2011-07-01,62.02429248809814
2012-06-30,63.517523803710944
2013-07-01,61.3280534362793
2014-07-01,
2015-07-01,59.78801956176758
2016-06-30,58.990835723876955
2017-07-01,61.47736877441407
2018-07-01,64.03879837036132
2019-07-01,60.84172863006592
