time,vmro3max
2000-06-30,
2001-07-01,
2002-07-01,40.984012603759766
2003-07-01,40.15645790100098
2004-06-30,39.00594902038574
2005-07-01,
2006-07-01,
2007-07-01,38.11031723022461
2008-06-30,39.875770568847656
2009-07-01,
2010-07-01,38.86893081665039
2011-07-01,37.58413505554199
2012-06-30,37.37604522705078
2013-07-01,39.24398422241211
2014-07-01,39.122154235839844
2015-07-01,39.5951042175293
2016-06-30,38.41508865356445
2017-07-01,39.20054626464844
2018-07-01,39.41511535644531
2019-07-01,39.068389892578125
