time,vmro3max
2000-06-30,70.36123443603519
2001-07-01,72.61162689208993
2002-07-01,69.36086624145507
2003-07-01,72.29252349853516
2004-06-30,64.49965030670165
2005-07-01,68.05508117675784
2006-07-01,74.06661483764647
2007-07-01,63.887463607788106
2008-06-30,63.38761970520018
2009-07-01,64.22850234985351
2010-07-01,66.1746826171875
2011-07-01,63.7607278442383
2012-06-30,62.79468711853026
2013-07-01,60.71206386566163
2014-07-01,62.93161521911621
2015-07-01,69.88715461730952
2016-06-30,62.20562545776366
2017-07-01,57.72480239868161
2018-07-01,
2019-07-01,67.44991744995113
